_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
2020-10-02 kejim 3v3 (2).dm_26.dm_meta,1666516,0:03:49,1438585,2803498,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4833333333,0.5233333333,0.1575611899,0.8011687902,0:03:49,^3Xen_Crypt,^4r^7d^4l,MOD_FLECHETTE_ALT_SPLASH,0,0,28.91612244,876.2461548,33,1217,74,307,399,20,239,,,37,0
OVERHALLIA. CTF _0041_ctf_kejim.dm_26.dm_meta,2200295,0:12:34,1447598,,MOD_FLECHETTE_ALT_SPLASH,good,TRUE,0.4371111111,0.6516666667,0.9999255032,0.633640314,0:12:34,^3Xen_Crypt,^7serk,MOD_FLECHETTE_ALT_SPLASH,0,0,7.653822899,231.934021,3593,484,0,549,279,134,237,,,27,10
1157_rocket.dm_26.dm_meta,38577650,0:11:20,38092850,39112750,MOD_ROCKET_SPLASH,good,TRUE,0.51,0.4133333333,0.2368739714,0.5071622158,0:11:20,^3Xen_Crypt,Scarlett Dependus,MOD_ROCKET_SPLASH,58.35023117,0.05557164922,149.1132965,4518.584961,168,136,1,366,40,327,237,,,35,11
1249_megarocket.dm_26.dm_meta,33828000,0:09:58,33253200,34560000,MOD_REPEATER_ALT_SPLASH,good,TRUE,0.4783333333,0.4166666667,0.5341105691,0.5075997994,0:09:58,^4{^7JOC^4}^3Xen_Crypt^4{^6JGM^4},Padawan,MOD_REPEATER_ALT_SPLASH,29.89541626,0.09965138882,171.7078857,5203.269531,524,227,0,241,467,327,368,,,364,41
2017-12-27 ctf4 4v4.dm_26.dm_meta,1219391,0:15:58,262028,1477418,MOD_ROCKET_SPLASH,good,TRUE,0.6,0.4766666667,0.01969787223,0.5741414459,0:15:58,^3Xen_Crypt,^7bra^2/^3/^4/^7sith,MOD_ROCKET_SPLASH,0,0,36.55968094,1107.869141,,0,33,4839,,,,,,,
2018-12-14 kejim 4v4.dm_26.dm_meta,617178,0:00:23,595365,,MOD_ROCKET_SPLASH,good,TRUE,0.5033333333,0.445,0.8534464531,0.2990938449,0:00:23,^3rest,^7serk,MOD_ROCKET_SPLASH,0,0,0,0,1438,491,1513,1227,412,244,629,,,164,46
2019-06-29 dosuun 4v4.dm_26.dm_meta,582891,0:05:45,239031,1452837,MOD_ROCKET_SPLASH,good,TRUE,0.4566666667,0.2766666667,0.5163401353,0.7556303023,0:05:45,^3Xen_Crypt,^7gengszter99,MOD_ROCKET_SPLASH,3.111284494,0.09428134561,102.386261,3102.614014,555,12,294,672,144,1062,752,,,20,19
2020-02-09 kejim 4v4 (3).dm_26.dm_meta,2181147,0:14:27,1320078,2358522,MOD_ROCKET_SPLASH,good,TRUE,0.3833333333,0.33,0.5438141528,0.6181461175,0:14:27,^3Xen_Crypt,^7flower,MOD_ROCKET_SPLASH,9.253594398,0.2804119587,45.05535507,1365.313843,676,463,140,493,289,96,419,,,85,0
2020-02-15 kothis 4v4.dm_26.dm_meta,1892962,0:09:53,1305892,2054299,MOD_ROCKET_SPLASH,good,TRUE,0.4337777778,0.2983333333,0.8158437042,0.5377342711,0:09:53,^3Xeo_Crypto,^7LEVI,MOD_ROCKET_SPLASH,0,0,176.5790405,5350.879883,1049,541,44,602,206,140,0,,,88,0
2020-02-21 carratos 4v4.dm_26.dm_meta,1319480,0:17:30,274139,1485701,MOD_REPEATER_ALT_SPLASH,good,TRUE,0.5236111111,0.445,0.4341920044,0.9177710868,0:17:30,^3Xen_Crypt,^7Padawan,MOD_REPEATER_ALT_SPLASH,18.87550163,0.1429962218,39.17181015,1187.024536,812,1063,468,1212,83,33,0,,,8,0
2020-04-03 kejim 4v4 (2).dm_26.dm_meta,411617,0:06:12,40730,1255592,MOD_ROCKET_SPLASH,good,TRUE,0.5044444444,0.62,0.9999358172,0.3974976899,0:06:12,^3Xen_Crypt,^5ski,MOD_ROCKET_SPLASH,13.56939316,0.2055968642,76.95245361,2331.892578,4344,516,302,4554,142,47,23,,,6,0
2020-04-11 aeten 2v2 (2).dm_26.dm_meta,3488805,0:20:01,2288694,,MOD_ROCKET_SPLASH,good,TRUE,0.4366666667,0.5633333333,0.2123847522,0.7297873729,0:20:01,^3Xen_Crypt,^7playing,MOD_ROCKET_SPLASH,0,0,5.131132603,155.4888611,133,1067,99,506,793,179,419,,,242,67
2020-05-10 ctf4 4v4.dm_26.dm_meta,1125605,0:17:27,72047,1295258,MOD_ROCKET_SPLASH,good,TRUE,0.5866666667,0.5266666667,0.02851085048,0.6279932358,0:17:27,^3Xen_Crypt,^7enab,MOD_ROCKET_SPLASH,0,0,68.69661713,2081.715576,,156,0,4109,,,,,,,
2020-06-20 kejim 3v3 (4).dm_26.dm_meta,12380596,0:01:09,12312253,13289845,MOD_ROCKET_SPLASH,good,TRUE,0.5013888889,0.49,0.8063959847,0.433355854,0:01:09,^7xenspec,^7csr,MOD_ROCKET_SPLASH,0,0,5.74161768,173.9884186,1266,185,1064,724,20,78,262,,,0,0
2020-07-20 kejim 3v3.dm_26.dm_meta,2573220,0:19:42,1392810,2691162,MOD_ROCKET_SPLASH,good,TRUE,0.3233333333,0.28,0.5667428502,0.5635088352,0:19:42,^7xen,^7lag,MOD_ROCKET_SPLASH,104.2797546,0.4514275193,104.2797546,3159.992676,745,628,198,591,563,29,399,,,81,0
2020-09-03 kejim 4v4.dm_26.dm_meta,84685441,0:15:46,83741080,84689995,MOD_ROCKET_SPLASH,good,TRUE,0.4258333333,0.53,0.965345917,0.7300632485,0:15:46,^3Sen_Crypt,^7X's Holy Kitten,MOD_ROCKET_SPLASH,0,0,0,0,1827,0,0,1277,319,45,258,,,569,439
awb_chase_ctf_talay_039_smooth.dm_26.dm_meta,358615389,0:09:17,358059702,,MOD_REPEATER_ALT_SPLASH,good,TRUE,0.5966666667,0.67,0.1779017662,0.609981587,0:09:17,,jawa,MOD_REPEATER_ALT_SPLASH,83.90618896,0.1412562132,84.94072723,2573.961426,85,252,2,226,117,55,239,,,18,0
ski_offense_ctf4_014_smooth.dm_26.dm_meta,46294400,0:22:21,44956900,,MOD_REPEATER_ALT_SPLASH,good,TRUE,0.5088888889,0.4016666667,0.7760600962,0.3978693344,0:22:21,^5Skiboda,,MOD_REPEATER_ALT_SPLASH,4.868747234,0.01217186823,168.341156,5101.24707,756,188,0,213,315,0,472,,,28,0
2020-06-24 lego 1v1 (2).dm_26.dm_meta,556120,0:09:16,5152,,MOD_DISRUPTOR_SNIPER,bad,TRUE,,,,,0:09:16,^3Xen_Crypt,^1X'S APOSTLE,MOD_DISRUPTOR_SNIPER,11.2976265,0.04279404134,187.7051392,5688.034668,1386,741,674,815,647,249,628,,,396,206
2020-06-25 lego 1v1 (4).dm_26.dm_meta,888331,0:14:48,5284,1681189,MOD_DISRUPTOR,bad,TRUE,,,,,0:14:48,^3Xen_Crypt,,MOD_DISRUPTOR,0.5788971186,0.01754233614,182.5993805,5533.314453,542,557,0,553,629,0,673,,,38,0
2011_ctf4.dm_26.dm_meta,162329853,0:19:46,161117268,,MOD_DISRUPTOR_SNIPER,bad,TRUE,,,,,0:19:46,^3Xen_Crypt,,MOD_DISRUPTOR_SNIPER,0,0,179.6920776,5445.214355,866,190,0,570,291,0,486,,,12,0
2020-06-24 lego 1v1 (2).dm_26.dm_meta,743428,0:12:23,5152,,MOD_DISRUPTOR,bad,TRUE,,,,,0:12:23,^3Xen_Crypt,^1X'S APOSTLE,MOD_DISRUPTOR,19.72889137,0.07473064959,177.587265,5381.432129,237,450,0,731,389,0,384,,,21,0
2020-06-24 lego 2v2.dm_26.dm_meta,6524165,0:09:27,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:09:27,^3Xen_Crypt,^7i,MOD_DISRUPTOR,12.73346806,0.04823283479,177.5312805,5379.73584,274,464,0,300,531,0,358,,,26,0
2020-06-27 cairn 4v4.dm_26.dm_meta,941003,0:12:20,202001,1329875,MOD_DISRUPTOR_SNIPER,bad,TRUE,,,,,0:12:20,^7xenspec,^7Padawan,MOD_DISRUPTOR_SNIPER,2.41264987,0.00913882535,176.7168427,5355.055664,2014,148,0,329,955,130,1047,,,80,0
0043_sniper.dm_26.dm_meta,17761100,0:09:15,17218500,18416500,MOD_DISRUPTOR_SNIPER,bad,TRUE,,,,,0:09:15,^4{^7JOC^4}^3Xen_Crypt^4{^1JGM^4},SAG3TARIUS,MOD_DISRUPTOR_SNIPER,115.7229538,0.1218136325,174.1945038,5278.621582,1414,0,0,32,0,0,0,,,234,234
1249_megarocket.dm_26.dm_meta,33923100,0:11:33,33253200,34560000,MOD_DISRUPTOR_SNIPER,bad,TRUE,,,,,0:11:33,^4{^7JOC^4}^3Xen_Crypt^4{^6JGM^4},stone,MOD_DISRUPTOR_SNIPER,32.57186127,0.03257185966,171.3448486,5192.268066,999,317,553,397,282,143,304,,,108,62
2020-06-24 lego 2v2.dm_26.dm_meta,8184428,0:37:07,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:37:07,^3Xen_Crypt,^7i,MOD_DISRUPTOR,38.72579193,0.1466886103,170.9284515,5179.649902,178,422,122,212,146,47,183,,,2,0
2020-06-24 lego 2v2.dm_26.dm_meta,7957586,0:33:20,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:33:20,^3Xen_Crypt,^7i,MOD_DISRUPTOR,19.06289864,0.0825233683,170.6386108,5170.867188,265,487,231,518,396,147,366,,,17,0
2020-06-24 lego 2v2.dm_26.dm_meta,8010452,0:34:13,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:34:13,^3Xen_Crypt,^7i,MOD_DISRUPTOR,19.52889442,0.07397308201,169.1584778,5126.014648,487,572,330,578,384,0,343,,,13,0
stuck rocket@0418.dm_26.dm_meta,84411326,0:09:58,83814356,,MOD_DISRUPTOR,bad,TRUE,,,,,0:09:58,^3Xen_Crypt,jakab,MOD_DISRUPTOR,28.46417427,0.05750338361,167.6250916,5079.54834,197,308,93,268,134,31,181,,,6,0
2020-06-23 lego 1v1.dm_26.dm_meta,709207,0:11:49,9145,,MOD_DISRUPTOR,bad,TRUE,,,,,0:11:49,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,6.215116501,0.02690526657,166.3840027,5041.939453,763,393,0,321,169,0,411,,,4,0
2020-06-23 lego 1v1.dm_26.dm_meta,241234,0:04:01,9145,,MOD_DISRUPTOR,bad,TRUE,,,,,0:04:01,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,5.114168167,0.01937184855,164.3564758,4980.499512,1028,790,198,754,285,28,652,,,10,0
2020-06-27 cairn 4v4.dm_26.dm_meta,833654,0:10:33,202001,1329875,MOD_DISRUPTOR_SNIPER,bad,TRUE,,,,,0:10:33,^7xenspec,^7CYD INSTAGIB ONLY,MOD_DISRUPTOR_SNIPER,6.345840931,0.02403727546,161.7704926,4902.13623,631,1105,561,1143,1104,641,1142,,,411,204
2020-06-28 kejim 2v2.dm_26.dm_meta,729242,0:10:54,76568,,MOD_DISRUPTOR,bad,TRUE,,,,,0:10:54,^3Xen_Crypt,^7lg,MOD_DISRUPTOR,4.78007555,0.01810634695,161.1194763,4882.408203,243,441,0,304,546,0,441,,,43,0
2020-06-25 lego 1v1 (4).dm_26.dm_meta,1246315,0:20:46,5284,1681189,MOD_DISRUPTOR,bad,TRUE,,,,,0:20:46,^3Xen_Crypt,,MOD_DISRUPTOR,3.802642584,0.02880789898,159.6873169,4839.009766,1040,467,0,731,642,33,533,,,330,57
2020-06-25 lego 1v1 (4).dm_26.dm_meta,660070,0:11:00,5284,1681189,MOD_DISRUPTOR,bad,TRUE,,,,,0:11:00,^3Xen_Crypt,,MOD_DISRUPTOR,23.73378944,0.08990071714,158.144928,4792.270508,151,424,0,385,108,0,389,,,1,0
2020-06-24 lego 1v1 (2).dm_26.dm_meta,126559,0:02:07,5152,,MOD_DISRUPTOR,bad,TRUE,,,,,0:02:07,^3Xen_Crypt,^1X'S APOSTLE,MOD_DISRUPTOR,7.294644833,0.2210498452,157.7994232,4781.800781,287,785,651,843,508,67,497,,,519,291
2020-08-21 manaan 2v2.dm_26.dm_meta,160626118,0:10:30,159997204,160999183,MOD_DISRUPTOR,bad,TRUE,,,,,0:10:30,^3Xen_Crypt,^7enab(tired),MOD_DISRUPTOR,21.08995056,0.07988617569,155.776413,4720.497559,389,127,42,288,770,300,605,,,816,160
2020-06-24 lego 2v2.dm_26.dm_meta,7388732,0:23:51,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:23:51,^3Xen_Crypt,^7i,MOD_DISRUPTOR,130.0000458,0.4924244285,155.2654114,4705.012695,307,456,34,535,675,333,637,,,147,60
2020-06-24 lego 1v1 (2).dm_26.dm_meta,609283,0:10:09,5152,,MOD_DISRUPTOR,bad,TRUE,,,,,0:10:09,^3Xen_Crypt,^1X'S APOSTLE,MOD_DISRUPTOR,14.62951279,0.05541482195,154.7015533,4687.925781,330,477,0,501,548,2,505,,,72,6
2020-06-24 lego 2v2.dm_26.dm_meta,7359890,0:23:22,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:23:22,^3Xen_Crypt,^7i,MOD_DISRUPTOR,25.08397865,0.09501507133,153.8460999,4662.00293,245,224,0,288,281,0,383,,,7,0
2020-06-24 lego 2v2.dm_26.dm_meta,7254521,0:21:37,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:21:37,^3Xen_Crypt,^7i,MOD_DISRUPTOR,27.61336899,0.1045960933,150.9871674,4575.368652,387,511,291,468,376,157,311,,,171,1
2020-06-24 lego 2v2.dm_26.dm_meta,7304219,0:22:27,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:22:27,^3Xen_Crypt,^7i,MOD_DISRUPTOR,0.915448606,0.02774086595,150.8237762,4570.41748,377,951,740,1003,212,0,262,,,4,0
2020-06-24 lego 2v2.dm_26.dm_meta,8068829,0:35:11,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:35:11,^3Xen_Crypt,^7i,MOD_DISRUPTOR,16.09358215,0.06096053869,148.5798187,4502.418945,282,389,0,624,139,67,325,,,2,0
2020-06-28 kejim 2v2.dm_26.dm_meta,758777,0:11:23,76568,,MOD_DISRUPTOR,bad,TRUE,,,,,0:11:23,^3Xen_Crypt,^7lg,MOD_DISRUPTOR,11.27396965,0.04270442948,145.4395752,4407.259766,421,39,0,171,463,223,699,,,101,32
2020-06-24 lego 2v2.dm_26.dm_meta,7205945,0:20:48,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:20:48,^3Xen_Crypt,^7i,MOD_DISRUPTOR,8.562314034,0.0432440117,145.4112701,4406.402344,495,425,0,422,629,141,485,,,193,133
2020-06-28 lego 2v2.dm_26.dm_meta,3943904,0:05:04,3641261,,MOD_DISRUPTOR,bad,TRUE,,,,,0:05:04,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,4.635804176,0.03511972725,144.1500092,4368.182129,276,409,223,385,292,110,412,,,14,5
2020-06-25 lego 1v1 (4).dm_26.dm_meta,847444,0:14:07,5284,1681189,MOD_DISRUPTOR,bad,TRUE,,,,,0:14:07,^3Xen_Crypt,,MOD_DISRUPTOR,5.415839195,0.02735272236,144.1002045,4366.672852,181,327,0,610,462,0,447,,,40,0
2020-06-25 lego 1v1 (5).dm_26.dm_meta,2223680,0:09:02,1682447,2340170,MOD_DISRUPTOR,bad,TRUE,,,,,0:09:02,^3Xen_Crypt,,MOD_DISRUPTOR,9.630576134,0.07295890898,128.9035492,3906.168213,1073,474,8,1828,950,630,942,,,113,22
2020-06-23 lego 1v1.dm_26.dm_meta,1151572,0:19:12,9145,,MOD_DISRUPTOR,bad,TRUE,,,,,0:19:12,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,89.77018738,0.3400385976,125.4436111,3801.321533,232,345,0,566,301,0,331,,,13,0
2020-06-23 lego 1v1.dm_26.dm_meta,1079269,0:17:59,9145,,MOD_DISRUPTOR,bad,TRUE,,,,,0:17:59,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,118.8721542,0.4502733052,118.8721542,3602.186523,101,298,0,386,244,0,316,,,10,0
0446sniper_0530sniper_1024cap.dm_26.dm_meta,32883400,0:09:49,32311500,33636650,MOD_DISRUPTOR_SNIPER,bad,TRUE,,,,,0:09:49,^1M,^0{DSV} Sith Czar [SL],MOD_DISRUPTOR_SNIPER,105.1380157,0.1001314446,105.1380157,3186.000488,1842,0,0,14,0,0,85,,,0,0
1013_rocket.dm_26.dm_meta,56579800,0:09:28,56222500,57287350,MOD_DISRUPTOR_SNIPER,bad,TRUE,,,,,0:09:28,^3Xen_Crypt,Zombie kitty [uk],MOD_DISRUPTOR_SNIPER,75.34936523,0.1369988471,103.8414993,3146.712158,179,0,0,0,0,0,215,,,0,0
2018-07-20 nelvaan 4v4.dm_26.dm_meta,1409207,0:18:16,314564,,MOD_DISRUPTOR,bad,TRUE,,,,,0:18:16,^3Xen_Crypt,^7serk,MOD_DISRUPTOR,49.56586075,0.5006652474,102.893425,3117.982666,58,221,43,113,7,2,259,,,0,0
2020-06-24 lego 2v2.dm_26.dm_meta,6535484,0:09:38,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:09:38,^3Xen_Crypt,^0<pro*,MOD_DISRUPTOR,69.50507355,0.2632767856,100.3329468,3040.392334,709,468,0,568,822,0,646,,,87,0
2020-06-23 lego 1v1.dm_26.dm_meta,1416529,0:23:37,9145,,MOD_DISRUPTOR,bad,TRUE,,,,,0:23:37,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,58.25072098,0.2206466645,99.73321533,3022.21875,583,488,279,1464,397,39,458,,,27,0
2020-08-09 lego 1v1.dm_26.dm_meta,442402,0:07:22,8716,,MOD_DISRUPTOR,bad,TRUE,,,,,0:07:22,^3xen,^7spec 2,MOD_DISRUPTOR,13.55319023,0.08214055002,98.57423401,2987.0979,153,561,157,528,368,10,1030,,,91,17
2020-06-24 lego 1v1 (2).dm_26.dm_meta,446956,0:07:27,5152,,MOD_DISRUPTOR,bad,TRUE,,,,,0:07:27,^3Xen_Crypt,^1X'S APOSTLE,MOD_DISRUPTOR,23.68062019,0.0896993205,96.61013031,2927.579834,934,399,160,226,929,329,995,,,210,17
2020-06-23 lego 1v1.dm_26.dm_meta,322216,0:05:22,9145,,MOD_DISRUPTOR,bad,TRUE,,,,,0:05:22,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,39.84215164,0.1509172469,88.86901093,2693.000244,285,441,0,499,648,0,948,,,40,0
2020-06-23 lego 1v1.dm_26.dm_meta,1611790,0:26:52,9145,,MOD_DISRUPTOR,bad,TRUE,,,,,0:26:52,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,12.47427368,0.378008306,88.80574799,2691.083252,331,821,311,816,585,247,577,,,719,246
2020-06-28 kejim 2v2.dm_26.dm_meta,567146,0:08:12,76568,,MOD_DISRUPTOR,bad,TRUE,,,,,0:08:12,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,21.12955666,0.3201448023,84.49385071,2560.419678,309,468,0,530,233,0,338,,,9,0
2020-06-28 kejim 2v2.dm_26.dm_meta,521210,0:07:26,76568,,MOD_DISRUPTOR,bad,TRUE,,,,,0:07:26,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,27.23623085,0.4126701653,83.67333221,2535.55542,262,445,0,502,317,0,470,,,14,0
2020-06-24 lego 2v2.dm_26.dm_meta,7328078,0:22:50,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:22:50,^3Xen_Crypt,^7i,MOD_DISRUPTOR,11.67200184,0.3536970317,82.63401031,2504.061035,102,339,0,397,121,0,302,,,1,0
2020-06-24 lego 2v2.dm_26.dm_meta,8692001,0:45:34,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:45:34,^3Xen_Crypt,^7i,MOD_DISRUPTOR,82.23381042,0.311491698,82.23381042,2491.933594,416,409,0,340,21,0,302,,,0,0
2020-06-24 lego 2v2.dm_26.dm_meta,6963758,0:16:46,5958677,8786711,MOD_DISRUPTOR,bad,TRUE,,,,,0:16:46,^3Xen_Crypt,^7i,MOD_DISRUPTOR,13.372859,0.4052381516,80.51397705,2439.817383,123,764,415,730,225,0,356,,,4,0
2020-08-09 lego 1v1.dm_26.dm_meta,440455,0:07:20,8716,,MOD_DISRUPTOR,bad,TRUE,,,,,0:07:20,^3xen,^7spec 2,MOD_DISRUPTOR,34.36322021,0.5206548572,74.36356354,2253.441406,99,693,217,715,251,43,307,,,147,72
2020-08-09 lego 1v1.dm_26.dm_meta,385444,0:06:25,8716,,MOD_DISRUPTOR,bad,TRUE,,,,,0:06:25,^3xen,^7spec 2,MOD_DISRUPTOR,53.06597519,0.2680099905,72.33744812,2192.043945,206,253,0,393,371,0,393,,,21,0
2020-04-13 ns_streets 2v2.dm_26.dm_meta,594466,0:09:54,10828,1214668,MOD_DISRUPTOR,bad,TRUE,,,,,0:09:54,^3XEN_CRYPT,^4b^7aku^5.,MOD_DISRUPTOR,51.92020035,0.3933348656,66.86752319,2026.288574,36,121,0,64,88,0,199,,,1,0
